__label__noRel	Additional studies should be done in this area to determine the optimum training program.	No changes were found in arm circumference or arm volume as a result of the exercise program.
__label__noRel	Patients receiving erlotinib had significantly longer median time to deterioration for all three symptoms (4.9 v 3.7 months for cough [P = .04]; 4.7 v 2.9 months for dyspnea [P = .04], and 2.8 v 1.9 months for pain [P = .03]).	Patients with complete or partial response were more likely to have improvement in the QOL response than patients with stable or progressive disease (P < .01).
__label__noRel	Impaired cognition, fatigue, and diminished quality of life (QOL) are commonly associated with breast cancer chemotherapy.	Epoetin alfa recipients had less of a decrease in FACT-An subscale scores from baseline to cycle 4 and improvement in FACT-An subscale scores at 6-month follow-up assessment compared with placebo.
__label__noRel	The incidence of Grade 4 toxicity was 56% in patients receiving mitomycin-C and 29% in those who did not.	The 3- and 5-year survival rates of nonsurgical therapy were comparable to published surgical trials of N2 disease.
__label__noRel	No myomectomy cases had further intervention.	In the UAE group, mean ± standard deviation uterine volume was 670 ± 503, 422 ± 353, and 292 ± 287 mL at baseline, 6 months, and 5 years, respectively.
__label__noRel	Treatment with MEV was well tolerated and demonstrated clinical activity in patients with CRPC.	Transient grade 4 neutropenia occurred in 18 and 2 patients, and grade 3 to 4 thrombosis in 7 patients and 1 patient in Arm A and Arm B respectively.
__label__noRel	The survival was similar to that of transthoracic approach.	Its leakage rate was lower and quality of life was better.
__label__Support	No liver cancers or increase in colon, rectal, ovarian, or other tumors was observed in the tamoxifen group.	Despite side effects resulting from administration of tamoxifen, its use as a breast cancer preventive agent is appropriate in many women at increased risk for the disease.
__label__noRel	In planned subgroup analyses, a significant interaction was noted (P = .01): limited-stage vandetanib patients had longer overall survival (HR, 0.45; one-sided P = .07) and extensive-stage vandetanib patients shorter survival compared with placebo (HR, 2.27; one-sided P = .996).	Asymptomatic Corrected QT interval (QTC) prolongation was observed in eight vandetanib patients.
__label__noRel	Exemestane patients reported more bone/muscle aches (P < .0001), vaginal dryness (P = .0004), and difficulty sleeping (P = .03).	Hormonal breast cancer treatment increases menopausal symptoms in women.
__label__Support	No significant longitudinal changes were detected in the global health status in both groups upon available follow-up.	but these changes became insignificant 2 years after treatment.
__label__noRel	DC/CIK treatment had potential benefit for patients with advanced non-small cell lung cancer compared with the control group and had no obvious side effects.	In the treatment group, the proportion of NK cells, T-cell subgroups CD3+, CD4+ and CD8+ had a significant change before and after treatment.
__label__noRel	Abatacept demonstrated acceptable safety and tolerability and clinically meaningful efficacy over 6 months in patients with inadequate response to anti-TNF therapy.	At 6 months, adverse events (AE; 78.0% vs 79.2%), serious AE (11.1% vs 9.9%) and discontinuations due to AE (3.8% vs 4.0%) and serious AE (2.0% vs 1.3%) were comparable in washout versus direct-switch patients.
__label__noRel	Hormone replacement therapy is often either undesirable or contraindicated.	We recorded no CBT-related adverse events.
__label__noRel	the overall survival was similar in both arms (14.8 months in experimental arm vs. 14.1 months in control arm);	Eighty percent of patients receiving second-line chemotherapy in control arm were treated with continuous infusion 5-FU.
__label__noRel	The two schedules are equivalent in terms of overall response rate, median time-to-progression and overall survival.	This difference was not statistically significant (log-rank test, p=0.818).
__label__noRel	It represents an excellent complement or an alternative to individual psycho-oncologic therapeutic support,	We observed a significant reduction in anxiety (STAI, POMS) among group participants, a reduction in anger, depression and fatigue (POMS), a significant improvement in vigor and interpersonal relationships (POMS), in emotional and role functioning, in health status and fatigue level (EORTC QLQ-C30).
__label__noRel	The postoperative clinical superiority of the interposition of jejunum reconstruction (INT) to Roux-en-Y reconstruction (RY) after total gastrectomy has not been clarified.	The postoperative QOL and complication scores at 60 months after surgery were significantly better than those at 3 months after surgery in each group (P < .01).
__label__noRel	Analysing response to FUFA and FOLFIRI in the per protocol set (n=119) after un-blinding TS in the data base revealed a trend to better overall response to FOLFIRI (9/19, 47%) in TS high compared to FUFA (5/23, 22%, p=0.077).	Taking a pre-treatment biopsy is a safe and feasible procedure in mCRC.
__label__noRel	the same was true of median overall survival time (43.3 months, 95% CI = 37.2 to 47.8 months versus 44.1 months, 95% CI = 40.2 to 49.4 months, for the TC and PT arms, respectively).	Median progression-free survival time in the TC arm (17.2 months, 95% CI = 15.2 to 19.3 months) and the PT arm (19.1 months, 95% CI = 16.7 to 21.5 months) were also not statistically significantly different;
__label__noRel	Radiotherapy was then associated with increased breast symptoms and with greater fatigue but with less insomnia and endocrine side-effects.	In the follow-up in this study, there were no recurrences, and the quality of life utilities from EuroQol were almost identical.
__label__Support	There were no serious events with the 1 + 2.5 dosage or after ccHRT discontinuation.	Lower dosages of HRT were as effective as higher doses in improving climacteric symptoms and HRQOL ratings and had fewer safety concerns.
__label__Support	The additional charge in the laparoscopic group was $1,748 per patient randomized ($1,194 the result of surgical instruments and $554 the result of longer operative time).	The net balance resulted in $351 extra cost per patient randomly allocated to the laparoscopic group.
__label__Support	The surviving fraction was significantly higher in the vaccine group based on Kaplan-Meier analysis.	Adjuvant immunotherapy with whole-cell lysate dendritic cell vaccine may improve short-term survival.
__label__Support	There was no statistical difference in median overall survival with docetaxel versus vinorelbine (14.3 months v 9.9 months; hazard ratio, 0.780; 95% CI, 0.561 to 1.085; P = .138).	Overall survival was not statistically significantly improved at this time.
__label__Support	More major complications (stent: 6 in 4 patients vs GJJ: 0; P = .02), recurrent obstructive symptoms (stent: 8 in 5 patients vs GJJ: 1 in 1 patient; P = .02), and reinterventions (stent: 10 in 7 patients vs GJJ: 2 in 2 patients; P < .01) were observed after stent placement compared with GJJ.	GJJ was associated with better long-term results and is therefore the treatment of choice in patients with a life expectancy of 2 months or longer.
__label__Support	Global health scores showed continuous improvement in QoL after both treatments (p < 0.001).	IMRT was significantly better than CRT in terms of parotid sparing and improved QoL for early-stage disease.
__label__Attack	but maintained the suppression of resorption at similar levels for a further four weeks.	A second infusion of pamidronate did not decrease resorption further,
__label__Support	Seventy-one percent of patients in the EDS group and 76% in the QW group achieved the target hemoglobin of ≥11.0 g/dL.	Darbepoetin alfa, when administered synchronously with chemotherapy, on an EDS appears to be similarly efficacious to darbepoetin alfa weekly dosing with no unexpected adverse events.
__label__Support	QOL decreased during the first 8 weeks of treatment, and a partial recovery followed.	Treatment, particularly the combination therapy, was associated with a decrease in QOL.
__label__Support	At 1 year, symptom scores were better in the surgical group (P=0.03).	In women with symptomatic fibroids, the faster recovery after embolization must be weighed against the need for further treatment in a minority of patients.
__label__Attack	QoL was similar for both groups at 1 year.	capecitabine was associated with better QoL during treatment
__label__Support	Severe toxicities of TOM + LFA-5-FU were neutropenia (16%) and diarrhoea (16%), but median relative DI8 was 93% for TOM, and 82% for 5-FU.	The TOM + LFA 5-FU regimen showed a RR and a toxicity profile very close to the MTX + LFA 5-FU combination, and does not deserve further evaluation in advanced colorectal cancer patients.
__label__Support	Median OS was 9.45 and 10 months respectively for weekly VNR/CDDP arm and the day 1-8 VNR/CDDP one without statistically a significant difference (log-rank test, p=0.259).	The two schedules are equivalent in terms of overall response rate, median time-to-progression and overall survival.
__label__Support	In planned subgroup analyses, a significant interaction was noted (P = .01): limited-stage vandetanib patients had longer overall survival (HR, 0.45; one-sided P = .07) and extensive-stage vandetanib patients shorter survival compared with placebo (HR, 2.27; one-sided P = .996).	Vandetanib failed to demonstrate efficacy as maintenance therapy for small-cell lung cancer.
__label__Support	Median survival was 16.6 months for the FU/LV/bevacizumab group and 12.9 months for the FU/LV/placebo group (hazard ratio, 0.79; P = .16).	Addition of bevacizumab to FU/LV as first-line therapy in CRC patients who were not considered optimal candidates for first-line irinotecan treatment provided clinically significant patient benefit, including statistically significant improvement in progression-free survival.
__label__Support	QoL was better preserved in rhTSH Group than in T4-WD and T3-WD Groups (p < 0.0001).	Our study indicates that use of rhTSH preserves QoL in patients undergoing RI ablation and affords an ablation success rate comparable to that seen after thyroid hormone withdrawal.
__label__Support	The scapula-oriented exercise group showed improvements in pain, physical function, social function, and global quality of life compared with baseline, whereas the general exercise group showed improved fatigue and range of motion.	Scapula-oriented exercise had beneficial effects on pain, quality of life and aspects of strength.
__label__Support	The overall response rates, which were confirmed by an independent expert panel, were 13% (95% CI, 3.4% to 23.3%), 27% (95% CI, 14.1% to 40.4%), and 40% (95% CI, 25.7% to 54.3%) for arms A, B, and C, respectively.	Of the three regimens tested, the combination of LV5FU2-irinotecan is the most promising and will be assessed in a phase III trial.
__label__Attack	However, it provided no improvement in PFS or OS compared with flat dosing.	Intrapatient dose escalation of carboplatin based on nadir blood counts is feasible and safe.
__label__Support	median survival increased from 21 to 28 weeks in the vinorelbine-treated group.	Vinorelbine improves survival of elderly patients with advanced NSCLC and possibly improves overall QoL.
__label__Attack	Results from the non-randomised patients did not confirm this effect, however.	Within the randomised controlled trial, the Barthel Index demonstrated a small but significant fall in functionality with radiotherapy compared with the no radiotherapy arm of the trial.
__label__Support	both groups showed significant (P<.0001), similar, reductions in pain misconceptions.	We conclude that TEC, compared with EUC, resulted in improved pain communication self-efficacy and temporary improvement in pain-related impairment, but no improvement in pain severity.
__label__Support	No differences were observed in global quality of life subdomain (P=0.40) between the two regimen.	This difference, however, was not observed when the global quality of life was evaluated with the EORTC patients compiled questionnaires.
__label__Support	Patients with an objective tumor response reported better physical well-being (P < 0.01), mood (P < 0.05), functional performance (P < 0.05) and less effort to cope (P < 0.05) compared with the non-responders and stable disease patients.	tumor response was shown to have a beneficial effect on QoL indicators.
__label__Support	Time to 5% deterioration of global health status (primary end point) significantly favored DCF over CF (log-rank test, P = .01).	In V325, advanced gastric or gastroesophageal junction cancer patients receiving DCF not only had statistically improved overall survival and time to tumor-progression, but they also had better preservation of QOL compared with patients receiving CF.
__label__Support	Median progression-free survival and overall survival times were 3.2 months (95% CI, 1.8 to 4.6 months) and 6.8 months (95% CI, 2.6 to 11.1 months) with LV5FU2, respectively; 4.9 months (95% CI, 3.5 to 6.3 months) and 9.5 months (95% CI, 6.9 to 12.2 months) with LV5FU2-cisplatin, respectively; and 6.9 months (95% CI, 5.5 to 8.3 months) and 11.3 months (95% CI, 9.3 to 13.3 months) with LV5FU2-irinotecan, respectively.	Of the three regimens tested, the combination of LV5FU2-irinotecan is the most promising and will be assessed in a phase III trial.
__label__Attack	but the difference did not reach statistical significance (95% CI, -0.7 to 2.4; P = .3).	True acupuncture was associated with 0.8 fewer hot flashes per day than sham at 6 weeks
__label__Attack	but the difference was not statistically significant (GE 15.5%, GP 27.7%, p = 0.20).	The rate of grade 2 or above nausea was numerically higher in the GP arm,
__label__Attack	but the onset of ovarian function suppression was slightly delayed for patients receiving chemotherapy.	As reflected in the hot flashes scores, patients in all three treatment groups experienced induced amenorrhea,
__label__Support	Progression-free survival (PFS) from date of randomization on step 2 was significantly better with topotecan compared with observation (3.6 months v 2.3 months; P <.001).	Four cycles of PE induction therapy followed by four cycles of topotecan improved PFS but failed to improve overall survival or quality of life in extensive-stage SCLC.
__label__Support	The 16-week regimen produced marginally better breast cancer outcomes than CAF with similar toxicity but a greater reduction in during-treatment quality of life.	The 16-week regimen should not be used instead of a standard-dose regimen without careful consideration of the 16-week regimen's pros and cons, which include its complicated schedule.
__label__Support	The estimated treatment effects in participants who died during the study were a mean (SE) of 8.6 (3.6) for quality of life (P = .02), -24.2 (20.5) for symptom intensity (P = .24), and -2.7 (1.2) for depressed mood (P = .03).	but did not have improvements in symptom intensity scores or reduced days in the hospital or ICU or emergency department visits.
__label__Support	Anxiety scores yielded a quadratic interaction comparing UCO and SMEX (p = 0.049), with trends for changes in SMEX but not UCO.	Only the combined intervention yielded effects on quality of life outcomes, and these were limited to anxiety and depression.
__label__Support	lean body mass was unchanged during follow-up compared to preoperative values.	After major surgery, specialized supportive enteral and parenteral nutrition are not superior to oral nutrition only when guided by a dietitian.
__label__Support	Both EBRT and cryoablation participants reported decreases in sexual function at 3 months with the cryoablation patients reporting poorer functioning (mean cryoablation=7.2: mean EBRT=32.9; P<.001).	with the exception of poorer sexual function reported by those treated with cryoablation.
__label__Support	Median time to HRQoL deterioration was longer in patients assigned to abiraterone plus prednisone than in those assigned to placebo plus prednisone as assessed by the FACT-P total score (12·7 months [95% CI 11·1-14·0] vs 8·3 months [7·4-10·6]; HR 0·78, 95% CI 0·66-0·92; p=0·003) and by the score on its prostate-cancer-specific subscale (11·1 months [8·6-13·8] vs 5·8 months [5·5-8·3]; HR 0·70, 95% CI 0·60-0·83; p<0·0001).	Abiraterone plus prednisone delays patient-reported pain progression and HRQoL deterioration in chemotherapy-naive patients with metastatic castration-resistant prostate cancer.
__label__Support	The mean changes in the endpoints from baseline in the trial group were significantly greater compared with the control group: in the primary endpoints, body weight (p = 0.05), fatigue (p < 0.01) and quality of life (p = 0.01), and in the secondary endpoints, grip strength (p = 0.05), Glasgow Prognostic Score (p = 0.02), Eastern Cooperative Oncology Group performance status (p = 0.02), IL-6 (p < 0.01) and tumor necrosis factor-α (p = 0.01).	A combination regimen of MA and thalidomide is more effective than MA alone in the treatment of CACS.
__label__Support	Median survival from randomisation was 25·7 months (95% CI 23·0-27·9) for patients on early treatment and 27·1 months (22·8-30·9) for those on delayed treatment.	Our findings showed no evidence of a survival benefit with early treatment of relapse on the basis of a raised CA125 concentration alone,
__label__Support	Superior survival was observed with the combined paclitaxel regimens (median survival time, 9.9 months; 1-year survival rate, 38.9%) compared with etoposide plus cisplatin (median survival time, 7.6 months; 1-year survival rate, 31.8%; P =. 048).	paclitaxel (135 mg/m(2)) combined with cisplatin has replaced etoposide plus cisplatin as the reference regimen in our recently completed phase III trial.
__label__Support	There was significantly more grade 3-4 neutropenia (P = .001) and dyspnea (P = .014) with PB+G.	Treatment with PB+G increased the incidence of severe neutropenia and dyspnea,
__label__Support	Three years after radiotherapy, urinary incontinence was reported by 35% of patients, but only 6% required the use of a pad or other protective device.	Comparing the results 2 and 3 years after radiotherapy, the symptoms of rectal bleeding had improved, erectile function had decreased, and urinary urge incontinence had increased.
__label__Support	There were no statistically significant differences between treatment groups in ES total scores.	In this, the first report of HRQoL over 5 years of initial adjuvant therapy with an aromatase inhibitor, we conclude that anastrozole and tamoxifen had similar impacts on HRQoL, which was maintained or slightly improved during the treatment period for both groups.
__label__Support	After RT, QOL function scores improved (p < .003) proportionally with improved nutritional intake and status in group 1/group 2 (p < .05) and worsened in group 3 (p < .05);	During RT, nutritional interventions positively influenced outcomes, and counseling was of similar/higher benefit;
__label__Support	Reported adverse events were similar between groups.	Darbepoetin alfa, when administered synchronously with chemotherapy, on an EDS appears to be similarly efficacious to darbepoetin alfa weekly dosing with no unexpected adverse events.
__label__Support	There were no significant differences between the narrow gastric tube group (NGT group, n=52) and the whole-stomach group (WS group, n=52) with regard to patient and cancer characteristics, operative procedure, postoperative intensive care unit (ICU) hospitalisation, and overall survival at 1 year.	Patients who underwent gastric tube reconstruction develop less postoperative digestive tract complications, and have a quicker recovery and a better QoL during the follow-up period.
__label__Support	Objective response rates were 22.8% (13 of 57) in E and 8.9% (5 of 56) in V (p = 0.0388).	Erlotinib is highly effective compared with oral vinorelbine in elderly, chemonaive, Taiwanese patients with NSCLC.
__label__Support	Regarding the postoperative complication, there were more cases of postoperative reflux oesophagitis and impairment of pulmonary function in the WS group (P<0.05).	Patients who underwent gastric tube reconstruction develop less postoperative digestive tract complications, and have a quicker recovery and a better QoL during the follow-up period.
__label__Support	While under treatment, responders reported significantly better physical well-being (months 3 to 11), mood (months 5 to 11), coping (months 5 to 9), and appetite (months 7 to 11) and less dizziness (month 9) than patients with SD(6m).	patients with CR/PR reported better QL, suggesting more beneficial response to second-line endocrine treatment.
__label__Support	Resorption markers did not decrease after placebo,	The new bone resorption markers of collagen breakdown were able to predict clinical response to pamidronate.
__label__Support	For BT versus RP, there was no difference in bowel or hormonal domains,	HRQOL evaluated 3.2 to 6.5 years after treatment showed an advantage for BT in urinary and sexual domains and in patient satisfaction.
__label__Attack	"but the comparison was limited due to major protocol violations by the ""healer"" who unblinded his status after the first run and quit the study."	"There was no significant difference in average score values between the ""healer"" and the actor with regard to the primary (p = 0.34) or the secondary endpoint (p = 0.94),"
__label__Support	QOL and sexual function are not negatively influenced by these 2 treatment options	Tamoxifen has been shown to be more effective and safe than RT in this setting.
__label__Attack	but not on objective sleep or fatigue outcomes.	The BT group, on average, experienced significant improvement on global sleep quality compared with the HEC group,
__label__Attack	However, this difference did not translate into a worse feeling of general well-being as measured by a simple visual analogue scale (5.8 vs 5.2; P = 0.3).	Patients allocated to misoprostol did report slightly increased soreness (7.6 vs 6.9; P = 0.04) and a greater use of analgesics.
__label__Attack	although bowel function differences disappeared over the 5-year period.	The addition of RT to surgery resulted in more frequent urination, as well as early report of more bowel dysfunction
__label__Attack	but this finding was inconsistent across different methods of analysis.	The dyspnoea palliation rate was lower in the C3 arm at 18 and 26 weeks (P<0.05),
__label__Attack	The changes between baseline and months 5 and 7, respectively, indicated improvement in responders but heterogeneous patterns in patients with SD(6m).	patients with CR/PR reported better QL, suggesting more beneficial response to second-line endocrine treatment.
__label__Attack	However, pain relief was mainly found in the intervention group patients without district nursing.	Results showed a significant increase in pain knowledge in patients who received the Pain Education Program and a significant decrease in pain intensity.
__label__Attack	the latter increases were unrelated to improved health.	Although the intervention simultaneously improved patients' T-cell blastogenesis in response to phytohemagglutinin (PHA),
__label__Attack	although the P value was of borderline statistical significance (P = .048).	However, a trend for more favorable overall survival was documented in the PLD arm compared with the GEM arm,
__label__Attack	but by 4 months posttreatment, there was no difference.	During treatment, quality of life declined significantly more with the 16-week regimen than CAF,
__label__Attack	although not all differences reached statistical significance.	Several aspects of the quality of life were rated to be better in group B than in group A,
__label__Attack	The patient accrual to this trial made its results inconclusive,	local control and survival were essentially equal between the surgical and RT arms.
__label__Attack	Thus far, with a median follow-up of 86 weeks, median survival has not been reached in either group.	From the 1-year survival analysis, the hazard ratio for probability of death was 1.29 (95% CI, 0.96 to 1.72).
__label__Attack	no endometrial cancer deaths have occurred in this group.	The rate of endometrial cancer was increased in the tamoxifen group (risk ratio = 2.53; 95% confidence interval = 1.35-4.97); this increased risk occurred predominantly in women aged 50 years or older.
__label__Attack	except more patients in the thalidomide group had rash, constipation, or neuropathy.	There were no statistically significant differences between treatments in hematological and nonhematological toxic effects,
__label__Attack	However, the majority of scales of the EORTC QLQ-C30 or LC13 showed stabilization of HRQOL with few clinically significant differences between the treatment arms.	This effect is an important clinically meaningful reduction from baseline in the cisplatin/raltitrexed arm.
__label__Attack	However, modifications are needed in future randomized trials to reduce the rate of premature termination and to improve long-term maintenance of gains.	The results of this brief pilot counseling intervention demonstrated significant gains in sexual function and satisfaction and increased utilization of treatments for ED.
__label__Attack	but there was a reduction in pain and no change in global QOL.	fatigue, nausea, and vomiting worsened,
__label__Attack	However, the magnitude of this difference was not helpful in defining which patients were likely to respond.	Pretreatment serum erythropoietin levels were lower in responders than in nonresponders (73.5 IU/L and 86.3 IU/L means, respectively).
__label__Attack	Distress reduction is highlighted as an important mechanism by which health can be improved.	However, it is not clear whether psychological improvements are, in turn, related to improved health.
__label__Attack	although febrile neutropenia and infections were more frequent for patients taking AT (respectively, 33% v 10%, P <.001; 8% v 2%, P =.01).	Grade 3/4 neutropenia was frequent in both groups,
__label__Attack	but TMZ-5 improved overall PFS (HR, 1.38; 95% CI, 1.05 to 1.82; P = .023), survival (HR, 1.32; 95% CI, 0.99 to 1.75; P = .056), and global quality of life (49% v 19% improved > 10 points at 6 months, respectively; P = .005).	For TMZ-5 versus TMZ-21, 12-week PFS rates were similar (63.6% and 65.7%, respectively; P = .745),
__label__Attack	Grade 3 or 4 myelosuppressions were more frequent with GC (anaemia: 14% GC vs 2% PE; leucopenia: 32% GC vs 13% PE; thrombocytopenia: 22% GC vs 4% PE),	GC is as effective as PE in terms of overall survival and progression-free survival and has a toxicity profile more acceptable to patients.
__label__Attack	but this was not associated with increased hospital admission or fatality.	More thrombocytopenia occurred with GCa (P = .03),
__label__Attack	but it was not statistically significant ($4700 versus $6453, difference = $1753, 95% CI on the difference = -$99 to $3604; P =.06).	The estimated difference in total societal costs was larger, also in favor of the single-fraction schedule,
__label__Attack	There was significant early attrition due to disease progression; only 61.5% of patients were alive at 2 months.	There was no significant difference between the two schedules examined in terms of improvement in KP or QOL, but there seemed to be a trend in favor of the 3w4 schedule.
__label__Attack	although longer follow-up is required for a definitive statement on survival.	Docetaxel-carboplatin appears to be similar to paclitaxel-carboplatin in terms of progression-free survival and response,
__label__Attack	but not for function discussion, suggesting that potentially serious problems may remain unaddressed.	A positive longitudinal impact of the intervention on symptom discussion was observed,
__label__Attack	no group effects were found.	Fatigue was lower at 1 year than before CTX;
__label__Attack	but the apparent inferior efficacy may discourage further investigation	This toxicity profile of GE is similar to GP,
__label__Attack	but late complications were more frequent after rigid stenting (risk ratio=2.47; 95% CI 1.88-3.04).	There were no differences in the in-hospital mortality or early complication rates,
__label__Attack	The effect appeared to be dose-dependent.	Pamidronate treatment of breast cancer patients efficaciously reduced skeletal morbidity.
